Городищенський район   (центр - м Городище)
Городищенська міська рада
13 м Городище
14 с Набоків
Вільшанська селищна рада
15 смт Вільшана
16 с-ще  Хрестівка
17 с-ще Сагайдачне
Цвітківська селищна рада
18 смт Цвіткове
Валявська сільська рада
19 с Валява
Вербівська сільська рада
20 с Вербівка
21 с-ще Кличкове
Воронівська сільська рада
22 с Воронівка
23 с Дмитрове
В'язівська сільська рада
24 с В'язівок
Дирдинська сільська рада
25 с Дирдин
Журавська сільська рада
26 с Журавка
27 с Тихі Верби
Зеленодібрівська сільська рада
28 с Зелена Діброва
Калинівська сільська рада
29 с Калинівка
Ксаверівська сільська рада
30 с Ксаверове
Орловецька сільська рада
31 с Орловець
Петриківська сільська рада
32 с Петрики
33 с-ще Ільченкове
34 с-ще Кудинівка
35 с-ще Моргунове
36 с Сегединці
37 с-ще Трихуторівка
Петропавлівська сільська рада
38 с Петропавлівка
Товстівська сільська рада
39 с Товста
40 с-ще Стадниця
Хлистунівська сільська рада
41 с Хлистунівка
"
Об’єднані  територіальні громади
"
Мліївська сільська територіальна громада"
 Будо-Орловецька сільська рада
42 с Будо-Орловецька
 Мліївська сільська рада
43 с Мліїв
 Старосільська сільська рада
44 с Старосілля
Драбівський район   (центр - смт Драбів)
Драбівська селищна рада
45 смт Драбів
Шрамківська селищна рада
46 смт Шрамківка
47 с-ще Вишневе
Безбородьківська сільська рада
48 с Безбородьки
Безпальчівська сільська рада
49 с Безпальче
Бирлівська сільська рада
50 с Бирлівка
51 с Перше Травня
Білоусівська сільська рада
52 с Білоусівка
Богданівська сільська рада
53 с Богданівка
54 с-ще Квітневе
Бойківщинська сільська рада
55 с Бойківщина
Великохутірська сільська рада
56 с Великий Хутір
57 с-ще Ашанівка
Вершино-Згарська сільська рада
58 с Вершина-Згарська
Демківська сільська рада
59 с Демки
60 с Новомиколаївка
Драбове-Барятинська сільська рада
61 с-ще Драбове-Барятинське
Жорнокльовівська сільська рада
62 с Жорнокльови
Золотоношківська сільська рада
63 с Золотоношка
Кантакузівська сільська рада
64 с Кантакузівка
Ковалівська сільська рада
65 с Ковалівка
66 с Гречанівка
Коломицька сільська рада
67 с Коломиці
Кононівська сільська рада
68 с Кононівка
69 с-ще Кононівка
Криштопівська сільська рада
70 с Криштопівка
