Амвросіївський район   (центр - м Амвросіївка)
Амвросіївська міська рада
201 м Амвросіївка
Войковська селищна рада
202 смт Копані
203 с-ще Обрізне
Кутейниківська селищна рада
204 смт Кутейникове
Новоамвросіївська селищна рада
205 смт Новоамвросіївське
Артемівська сільська рада
206 с Артемівка
207 с Карпово-Надеждинка
208 с Красний Луч
209 с-ще Кринички
210 с-ще Овочеве
211 с-ще Рубашкине
Білоярівська сільська рада
212 с Білоярівка
213 с-ще Житенко
214 с-ще Нижньокринське
215 с-ще Сергієве-Кринка
Благодатнівська сільська рада
216 с Благодатне
217 с Велике Мішкове
218 с-ще Жукова Балка
219 с-ще Калинове
220 с Мала Шишівка
221 с Новоклинівка
222 с-ще Родники
223 с Садове
224 с Свистуни
225 с Сіятель
Василівська сільська рада
226 с Василівка
227 с Кошарне
228 с Мокроєланчик
229 с Петропавлівка
Єлизавето-Миколаївська сільська рада
230 с Єлизавето-Миколаївка
231 с-ще Трепельне
Зеленівська сільська рада
232 с Зелене
233 с Вербівка
234 с Садове
235 с Федорівка
Кленівська сільська рада
236 с-ще Кленівка
237 с-ще Дзеркальне
238 с-ще Мережки
239 с-ще Петренки
240 с-ще Побєда
241 с-ще Свободне
Лисиченська сільська рада
242 с-ще Лисиче
243 с-ще Квашине
244 с-ще Харківське
Металістівська сільська рада
245 с-ще Металіст
246 с-ще Бондаревське
Многопільська сільська рада
247 с Многопілля
248 с Агрономічне
249 с-ще Верхньоосикове
250 с-ще Грабське
251 с Григорівка
252 с-ще Кобзарі
253 с Полтавське
254 с-ще Придорожнє
255 с Червоносільське
Новоіванівська сільська рада
256 с Новоіванівка
257 с Верхньоєланчик
258 с Киселівка
259 с Новоєланчик
260 с Ольгинське
261 с Павлівське
262 с-ще Улянівське
Олексіївська сільська рада
263 с Олексіївське
264 с Вільхівчик
265 с Григорівка
266 с Комишуваха
267 с Новоукраїнське
268 с Семенівське
Степано-Кринська сільська рада
269 с Степано-Кринка
270 с Покровка
271 с Русько-Орлівка
Успенська сільська рада
272 с Успенка
273 с-ще Виселки
274 с Калинове
275 с-ще Катеринівка
276 с Манич
277 с-ще Степне
Бахмутський район  (центр - м Бахмут)
Вуглегірська міська рада
278 м Вуглегірськ
279 с-ще Булавине
280 с-ще Грозне
281 с-ще Каютине
282 с-ще Савелівка
283 с-ще Ступакове
Світлодарська міська рада
284 м Світлодарськ
Сіверська міська рада
285 м Сіверськ
Часовоярська міська рада
286 м Часів Яр
Булавинська селищна рада
287 смт Булавинське
288 смт Олександрівське
289 смт Оленівка
290 смт Прибережне
Зайцівська селищна рада
291 смт Зайцеве
Луганська селищна рада
292 смт Луганське
293 с Воздвиженка
294 с Криничне
295 с Лозове
296 с Миронівка
297 с Розсадки
298 с-ще Роти
Миронівська селищна рада
299 смт Миронівський
Ольховатська селищна рада
300 смт Ольховатка
301 с Весела Долина
302 с-ще Данилове
303 с-ще Іллінка
304 с-ще Кам'янка
305 с-ще Рідкодуб
Верхньокам'янська сільська рада
306 с Верхньокам'янське
307 с Івано-Дар'ївка
308 с Новоселівка
Дронівська сільська рада
309 с Дронівка
310 с Платонівка
Зайцівська сільська рада
311 с Зайцеве
312 с Вершина
313 с Весела Долина
Званівська сільська рада
314 с Званівка
315 с Кузьминівка
316 с Переїзне
Іванівська сільська рада
317 с Іванівське
318 с Андріївка
319 с Берхівка
320 с Кліщіївка
321 с-ще Хромове
Калинівська сільська рада
322 с-ще Калинівка
323 с Богданівка
324 с Григорівка
Клинівська сільська рада
325 с Клинове
326 с Відродження
327 с Мідна Руда
Кодемська сільська рада
328 с Кодема
329 с Дача
330 с Миколаївка
331 с Миколаївка Друга
332 с Одрадівка
Комунівська сільська рада
333 с Дебальцівське
334 с Калинівка
335 с Логвинове
Новогригорівська сільська рада
336 с Новогригорівка
337 с Нижнє Лозове
338 с Санжарівка
Новолуганська сільська рада
339 с-ще Новолуганське
340 с-ще Доломітне
341 с Семигір'я
342 с-ще Травневе
Опитненська сільська рада
343 с-ще Опитне
344 с-ще Зеленопілля
345 с Іванград
346 с-ще Ягідне
Покровська сільська рада
347 с Покровське
348 с Нова Кам'янка
Різниківська сільська рада
349 с Різниківка
350 с Свято-Покровське
Серебрянська сільська рада
351 с Серебрянка
352 с Григорівка
"
Об’єднані  територіальні громади

Соледарська міська територіальна громада
 ОМС - Соледарська міська  рада територіальної громади"
353 м Соледар
354 с Бахмутське
355 с Берестове
356 с Білогорівка
357 с Благодатне
358 с Бондарне
359 с Василівка
360 с Васюківка
361 с Веселе
362 с-ще Виїмка
363 с Володимирівка
364 с Голубівка
365 с Діброва
366 с Дубово-Василівка
367 с Залізнянське
368 с Краснополівка
369 с Липівка
370 с Липове
371 с Миколаївка
372 с Міньківка
373 с-ще Нагірне
374 с Никифорівка
375 с Оріхово-Василівка
376 с Пазено
377 с Парасковіївка
378 с Пилипчатине
379 с-ще Підгородне
380 с Привілля
381 с Роздолівка
382 с Сакко І Ванцетті
383 с-ще Спірне
384 с Стряпівка
385 с Трипілля
386 с Федорівка
387 с Федорівка Друга
388 с Хромівка
389 с Яковлівка
Бойківський район  (центр - смт Бойківське)
Тельманівська селищна рада
390 смт Бойківське
391 с Зернове
Коньковська сільська рада
392 с Конькове
393 с  Олександрівське
394 с Білокриничне
395 с Іванівка
396 с Самсонове
Кузнецово-Михайлівська сільська рада
397 с Кузнецово-Михайлівка
398 с Котляревське
Луківська сільська рада
399 с Лукове
400 с Григорівка
401 с Запорожець
402 с Каплани
403 с Миколаївка
404 с Петрівське
405 с Тавричеське
406 с Шевченко
Михайлівська сільська рада
407 с Михайлівка
408 с Греково-Олександрівка
409 с Зелений Гай
410 с Зорі
411 с Лавринове
412 с Новоолександрівка
413 с Садки
414 с Тернівка
Мічурінська сільська рада
415 с Мічуріне
416 с Богданівка
417 с Вершинівка
418 с Майорове
419 с Нова Мар'ївка
420 с Первомайське
421 с Розівка
422 с Чирилянське
Первомайська сільська рада
423 с Первомайське
424 с Воля
425 с Черевківське
Свободненська сільська рада
426 с Свободне
427 с Дерсове
428 с Чумак
Староласпинська сільська рада
429 с Староласпа
430 с Біла Кам'янка
431 с Новоласпа
Великоновосілківський район   (центр - смт Велика Новосілка)
Великоновосілківська селищна рада
432 смт Велика Новосілка
433 с-ще Благодатне
434 с Времівка
435 с Нескучне
436 с Новий Комар
Андріївська сільська рада
437 с Андріївка
438 с Петропавлівка
439 с Слов'янка
440 с Шевченко
Багатирська сільська рада
441 с Багатир
442 с Зелений Кут
443 с Новоукраїнка
444 с Олексіївка
Євгенівська сільська рада
445 с Євгенівка
Зеленопільська сільська рада
446 с Зелене Поле
447 с Новопіль
448 с Новосілка
Іскрівська сільська рада
449 с Іскра
450 с-ще Зелений Гай
Керменчицька сільська рада
451 с-ще Керменчик
452 с-ще Новодонецьке
453 с Новомайорське
Комарська сільська рада
454 с Комар
455 с Веселе
456 с Дніпроенергія
457 с Запоріжжя
458 с Зірка
459 с Новоочеретувате
460 с Скудне
461 с Федорівка
462 с Ялта
Костянтинопільська сільська рада
463 с Костянтинопіль
464 с-ще Розлив
465 с Улакли
Краснополянська сільська рада
466 с Красна Поляна
Новопетриківська сільська рада
467 с Новопетриківка
468 с Георгіївка
469 с Малий Керменчик
470 с Ялинське
Піддубненська сільська рада
471 с Піддубне
472 с Грушівське
473 с Мирне
474 с Новохатське
475 с-ще Перебудова
476 с Толстой
Роздольненська сільська рада
477 с-ще Роздольне
478 с-ще Одрадне
Старомайорська сільська рада
479 с Старомайорське
480 с Макарівка
481 с Рівнопіль
482 с Сторожеве
483 с-ще Урожайне
Старомлинівська сільська рада
484 с Старомлинівка
485 с Володине
486 с Завітне Бажання
487 с-ще Ключове
488 с Орлинське
Шахтарська сільська рада
489 с Шахтарське
490 с-ще Золота Нива
491 с-ще Ясна Поляна
Шевченківська сільська рада
492 с-ще Шевченко
493 с-ще Бурлацьке
494 с Вільне Поле
495 с Воскресенка
496 с-ще Комишуваха
497 с Олександроград
498 с Привільне
Волноваський район   (центр - м Волноваха)
Волноваська міська рада
499 м Волноваха
500 с Новогригорівка
501 с Новопавлівка
502 с Трудове
Андріївська селищна рада
503 смт Андріївка
504 с-ще Бахчовик
505 с-ще Дружне
506 с-ще Обільне
Благодатненська селищна рада
507 смт Благодатне
508 смт Графське
Володимирівська селищна рада
509 смт Володимирівка
Донська селищна рада
510 смт Донське
Мирненська селищна рада
511 смт Мирне
Новотроїцька селищна рада
512 смт Новотроїцьке
Оленівська селищна рада
513 смт Оленівка
514 с-ще Малинове
515 с-ще Молодіжне
516 с-ще Нова Оленівка
517 с-ще Новомиколаївка
Ольгинська селищна рада
518 смт Ольгинка
519 с Лісне
520 с Пільне
Анадольська сільська рада
521 с Анадоль
522 с Полкове
Андріївська сільська рада
523 с Андріївка
524 с Доля
Бугаська сільська рада
525 с Бугас
Валер'янівська сільська рада
526 с Валер'янівка
527 с Благовіщенка
528 с Зелений Гай
Вільненська сільська рада
529 с Вільне
Гранітненська сільська рада
530 с Гранітне
531 с Старомар'ївка
Діанівська сільська рада
532 с Діанівка
Дмитрівська сільська рада
533 с Дмитрівка
Єгорівська сільська рада
534 с Єгорівка
535 с Шевченко
Зачатівська сільська рада
536 с Зачатівка
537 с-ще Зачатівка
Златоустівська сільська рада
538 с Златоустівка
539 с Веселе
540 с Голубицьке
541 с Затишне
542 с Малинівка
543 с Новомиколаївка
Іванівська сільська рада
544 с Іванівка
545 с Новотатарівка
Калинівська сільська рада
546 с Калинове
Комінтернівська сільська рада
547 с Пікузи
548 с Водяне
549 с Заїченко
Лебединська сільська рада
550 с Лебединське
551 с-ще Калинівка
552 с Сопине
Любівська сільська рада
553 с Любівка
554 с Червоне
Микільська сільська рада
555 с Микільське
Миколаївська сільська рада
556 с Миколаївка
557 с Богданівка
558 с Вікторівка
559 с Новогнатівка
Новоандріївська сільська рада
560 с Новоандріївка
561 с Кирилівка
Новоолексіївська сільська рада
562 с Новоолексіївка
563 с Лідине
Новоселівська сільська рада
564 с Новоселівка
565 с Запорізьке
566 с Кам'янка
567 с-ще Маловодне
568 с Новоселівка Друга
569 с Степанівка
Павлопільська сільська рада
570 с Павлопіль
571 с Пищевик
572 с Черненко
Петрівська сільська рада
573 с Петрівське
Привільненська сільська рада
574 с Привільне
Прохорівська сільська рада
575 с Прохорівка
576 с Малогнатівка
577 с Новоапостолівка
578 с Тарасівка
Рибинська сільська рада
579 с Рибинське
580 с Ближнє
581 с Василівка
582 с Трудівське
Рівнопільська сільська рада
583 с Рівнопіль
584 с Передове
Свободненська сільська рада
585 с Свободне
Сонячна сільська рада
586 с Сонячне
587 с Знаменівка
Старогнатівська сільська рада
588 с Старогнатівка
589 с Новогригорівка
Степнянська сільська рада
590 с Степне
591 с Кропивницьке
Стрітенська сільська рада
592 с Стрітенка
593 с Лазарівка
594 с Петрівка
595 с Шевченко
Хлібодарівська сільська рада
596 с Хлібодарівка
Чермалицька сільська рада
597 с Чермалик
598 с Орловське
599 с Федорівка
Широкинська сільська рада
600 с Широкине
601 с Бердянське
Добропільський район   (центр - м Добропілля)
Святогорівська селищна рада
602 смт Святогорівка
603 с Вікторівка
604 с Вірівка
605 с Копані
606 с Нововікторівка
607 с Новоукраїнка
Ганнівська сільська рада
608 с Ганнівка
609 с Кутузовка
610 с Рубіжне
Добропільська сільська рада
611 с Добропілля
612 с Красноподілля
613 с Матяшеве
614 с Новогришине
Золотоколодязька сільська рада
615 с Золотий Колодязь
616 с Веселе
617 с Грузьке
618 с Кучерів Яр
619 с Лідине
620 с Мар'ївка
621 с Новотроїцьке
622 с Петрівка
Криворізька сільська рада
623 с Криворіжжя
624 с Завидо-Борзенка
625 с Завидо-Кудашеве
626 с Зелене
627 с Надія
628 с Новокриворіжжя
629 с Новомар'ївка
630 с Новофедорівка
631 с Ракша
Нововодянська сільська рада
632 с Нововодяне
633 с Благодать
634 с Веселе Поле
635 с Весна
636 с Первомайське
Світлівська сільська рада
637 с-ще Світле
638 с-ще Красноярське
639 с-ще Новий Донбас
640 с-ще Шевченко
Шилівська сільська рада
641 с Шилівка
642 с Василівка
643 с Гуліве
644 с Кам'янка
645 с Лиман
646 с Мирне
647 с Новоолександрівка
648 с Петрівське
649 с Юр'ївка
"
Об’єднані  територіальні громади

Шахівська сільська територіальна громада
 ОМС - Шахівська сільська рада територіальної громади"
650 с Шахове
651 с Бойківка
652 с Вільне
653 с Володимирівка
654 с-ще Дорожнє
655 с Іванівка
656 с Коптєве
657 с-ще Маяк
658 с Никанорівка
659 с Нове Шахове
660 с Новоторецьке
661 с Панківка
662 с Суворове
663 с Торецьке
Костянтинівський район   (центр - м Костянтинівка)
Білокузьминівська сільська рада
664 с Білокузьминівка
Віролюбівська сільська рада
665 с Віролюбівка
666 с-ще Безім'яне
667 с Клинове
668 с Попасне
Іванопільська сільська рада
669 с Іванопілля
670 с Біла Гора
671 с Диліївка
672 с Неліпівка
673 с Олександро-Шультине
Кіндратівська сільська рада
674 с Кіндратівка
675 с Куртівка
676 с Осикове
Марківська сільська рада
677 с Маркове
678 с Майське
679 с Новомаркове
680 с Федорівка
Миколаївська сільська рада
681 с Миколаївка
682 с Подільське
Миколайпільська сільська рада
683 с Миколайпілля
Новодмитрівська сільська рада
684 с-ще Новодмитрівка
685 с Іжевка
686 с-ще Молочарка
687 с-ще Стінки
688 с-ще Червоне
Предтечинська сільська рада
689 с Предтечине
690 с Ступочки
Софіївська сільська рада
691 с Софіївка
Торська сільська рада
692 с Торське
693 с Новопавлівка
694 с Павлівка
695 с Петрівка
696 с-ще Приют
697 с Райське
698 с Торецьке
"
Об’єднані  територіальні громади

Іллінівська сільська територіальна громада "
 Артемівська сільська рада
699 с-ще Довга Балка
700 с-ще Розкішне
701 с Степанівка
 Зорянська сільська рада
702 с-ще Зоря
 Іллічівська сільська рада
703 с Іллінівка
704 с-ще Бересток
 Катеринівська сільська рада
705 с Катеринівка
706 с-ще Клебан-Бик
707 с Плещіївка
 Новополтавська сільська рада
708 с Нова Полтавка
 Олександро-Калинівська сільська рада
709 с Олександро-Калинове
710 с Яблунівка
 Полтавська сільська рада
711 с Полтавка
712 с Попів Яр
713 с Русин Яр
 Правдівська сільська рада
714 с Стара Миколаївка
715 с Гнатівка
716 с Калинове
717 с Романівка
 Тарасівська сільська рада
718 с Тарасівка
719 с Березівка
720 с Водяне Друге
721 с Зелене Поле
722 с Новооленівка
723 с Олександропіль
Мангушський район  (центр - смт Мангуш)
Мангушська селищна рада
724 смт Мангуш
Ялтинська селищна рада
725 смт Ялта
726 с Азовське
727 с Юр'ївка
Бердянська сільська рада
728 с Бердянське
729 с Агробаза
730 с Приазовське
731 с Приміське
732 с Шевченко
Комишуватська сільська рада
733 с Комишувате
734 с Дем'янівка
735 с Українка
Мелекінська сільська рада
736 с Мелекіне
737 с Білосарайська Коса
738 с Бурякова Балка
739 с Глибоке
740 с Огороднє
741 с Портівське
Покровська сільська рада
742 с Покровське
743 с-ще Рибацьке
744 с Червоне
745 с Широка Балка
Стародубівська сільська рада
746 с Стародубівка
747 с Захарівка
Урзуфська сільська рада
748 с Урзуф
749 с Бабах-Тарама
Мар'їнський район   (центр - м Мар'їнка)
Красногорівська міська рада
750 м Красногорівка
Курахівська міська рада
751 м Курахове
752 смт Іллінка
753 с-ще Острівське
754 с-ще Старі Терни
755 с Степанівка
Мар'їнська міська рада
756 м Мар'їнка
757 с Побєда
Олександрівська селищна рада
758 смт Олександрівка
Старомихайлівська селищна рада
759 смт Старомихайлівка
Богоявленська сільська рада
760 с Богоявленка
Галицинівська сільська рада
761 с Галицинівка
762 с Долинівка
763 с Карлівка
764 с Лісівка
Дачненська сільська рада
765 с Дачне
766 с Гігант
767 с Дальнє
768 с Зеленівка
769 с Костянтинопольське
770 с Сухі Яли
771 с Янтарне
Єлизаветівська сільська рада
772 с Єлизаветівка
773 с Іллінка
774 с Романівка
Зорянська сільська рада
775 с Зоряне
776 с Желанне Друге
777 с Желанне Перше
778 с Олександропіль
Катеринівська сільська рада
779 с Катеринівка
780 с Антонівка
Костянтинівська сільська рада
781 с Костянтинівка
Луганська сільська рада
782 с Луганське
783 с Кремінець
784 с Сигнальне
785 с Славне
Максимільянівська сільська рада
786 с Максимільянівка
787 с Георгіївка
Новомихайлівська сільська рада
788 с Новомихайлівка
789 с Парасковіївка
Новоселидівська сільська рада
790 с Новоселидівка
791 с Вовченка
792 с Вознесенка
793 с Ізмайлівка
794 с Кремінна Балка
Новоукраїнська сільська рада
795 с Новоукраїнка
796 с Максимівка
797 с Пречистівка
Павлівська сільська рада
798 с Павлівка
Степненська сільська рада
799 с Степне
800 с Березове
801 с Водяне
802 с Солодке
803 с Тарамчук
Успенівська сільська рада
804 с Успенівка
805 с Веселий Гай
806 с Ганнівка
807 с Трудове
Нікольський район  (центр - смт Нікольське)
Нікольська селищна рада
808 смт Нікольське
809 с-ще Лісне
810 с Новоянисоль
Боївська сільська рада
811 с Бойове
812 с Малинівка
813 с Новогригорівка
814 с Паннівка
815 с Суженка
Зеленоярська сільська рада
816 с Зелений Яр
817 с Веселе
818 с Лугове
819 с Садове
820 с Федорівка
Зорянська сільська рада
821 с Зоря
822 с Водяне
823 с Гранітне
824 с Приовражне
Кальчицька сільська рада
825 с Кальчик
826 с Келерівка
827 с Кирилівка
Касянівська сільська рада
