Бериславський район   (центр - м Берислав)
Бериславська міська рада
29 м Берислав
Козацька селищна рада
30 смт Козацьке
Бургунська сільська рада
31 с Бургунка
Веселівська сільська рада
32 с-ще Веселе
Високівська сільська рада
33 с Високе
34 с Львівські Отруби
35 с-ще Матросівка
36 с Таврійське
Зміївська сільська рада
37 с Зміївка
Качкарівська сільська рада
38 с Качкарівка
39 с Саблуківка
Кіровська сільська рада
40 с Лиманець
41 с Вітрове
42 с Інгулівка
43 с Чайкине
Львівська сільська рада
44 с Львове
Максимо-Горьківська сільська рада
45 с Максима Горького
Милівська сільська рада
46 с Милове
47 с Суханове
48 с Червоний Яр
Новобериславська сільська рада
49 с Новоберислав
Новокаїрська сільська рада
50 с Новокаїри
51 с Республіканець
Новорайська сільська рада
52 с-ще Новорайськ
53 с-ще Заможне
54 с Костирка
Одрадокам'янська сільська рада
55 с Одрадокам'янка
56 с Миколаївка
Ольгівська сільська рада
57 с Ольгівка
58 с Вірівка
Раківська сільська рада
59 с Раківка
60 с Новосілка
61 с Першотравневе
62 с Тараса Шевченка
Степнянська сільська рада
63 с Степне
64 с Кошара
Томаринська сільська рада
65 с Томарине
Тягинська сільська рада
66 с Тягинка
Урожайненська сільська рада
67 с Урожайне
Червономаяцька сільська рада
68 с-ще Червоний Маяк
69 с Крупиця
70 с-ще Монастирське
Шляхівська сільська рада
71 с-ще Шляхове
Білозерський район   (центр - смт Білозерка)
Білозерська селищна рада
72 смт Білозерка
73 с-ще Розлив
74 с-ще Черешеньки
Дар'ївська сільська рада
75 с Дар'ївка
Дніпровська сільська рада
76 с-ще Дніпровське
77 с-ще Первомайське
78 с-ще Ромашкове
79 с-ще Янтарне
Інгулецька сільська рада
80 с Інгулець
81 с Зарічне
82 с Ясна Поляна
Киселівська сільська рада
83 с Киселівка
84 с Барвінок
85 с Зелений Гай
86 с Клапая
Кізомиська сільська рада
87 с Кізомис
88 с-ще Берегове
89 с-ще Велетенське
90 с-ще Гончарне
Микільська сільська рада
91 с Микільське
92 с Понятівка
Надеждівська сільська рада
93 с Надеждівка
94 с Знам'янка
95 с Зорівка
Олександрівська сільська рада
96 с Олександрівка
Петрівська сільська рада
97 с Благодатне
Посад-Покровська сільська рада
98 с Посад-Покровське
99 с-ще Копані
100 с Солдатське
Правдинська сільська рада
101 с Правдине
102 с Нова Зоря
103 с Таврійське
Радянська сільська рада
104 с-ще Миролюбівка
105 с Грозове
106 с-ще Дослідне
107 с-ще Мирне
108 с-ще Молодецьке
109 с Паришеве
Садівська сільська рада
110 с Садове
111 с-ще Придніпровське
Станіславська сільська рада
112 с Станіслав
Токарівська сільська рада
113 с Токарівка
114 с Іванівка
115 с Новотягинка
Томинобалківська сільська рада
116 с Томина Балка
117 с Новодмитрівка
Федорівська сільська рада
118 с Федорівка
119 с Ульяновка
Чорнобаївська сільська рада
120 с Чорнобаївка
121 с Крутий Яр
Широкобалківська сільська рада
122 с Широка Балка
123 с Софіївка
"
Об’єднані  територіальні громади


Музиківська сільська територіальна громада"
 Музиківська сільська рада
124 с Музиківка
125 с Висунці
126 с Мірошниківка
 Східненська сільська рада
127 с-ще Східне
128 с Загорянівка
Великолепетиський район   (центр - смт Велика Лепетиха)
Великолепетиська селищна рада
129 смт Велика Лепетиха
Демидівська сільська рада
130 с Демидівка
131 с Запоріжжя
Катеринівська сільська рада
132 с Катеринівка
133 с Костянтинівка
Князе-Григорівська сільська рада
134 с Князе-Григорівка
135 с Середнє
Малолепетиська сільська рада
136 с Мала Лепетиха
137 с Дмитрівка
138 с Сергіївка
Миколаївська сільська рада
139 с Миколаївка
Рубанівська сільська рада
140 с Рубанівка
141 с Веселе
Великоолександрівський район   (центр - смт Велика Олександрівка)
Білокриницька селищна рада
142 смт Біла Криниця
143 смт Кар'єрне
144 с Білоусове
145 с Первомайське
Великоолександрівська селищна рада
146 смт Велика Олександрівка
147 с Твердомедове
Калинівська селищна рада
148 смт Калинівське
149 с Зелений Гай
150 с Краснолюбецьк
151 с Новополтавка
Білоусівська сільська рада
152 с Білоусове
153 с Токареве
Благодатівська сільська рада
154 с Благодатівка
155 с Андріївка
156 с Лозове
157 с Мала Сейдеминуха
158 с Новогреднєве
159 с Сухий Ставок
Бобровокутська сільська рада
160 с Бобровий Кут
161 с Заповіт
Брускинська сільська рада
162 с Брускинське
163 с Безводне
164 с Іщенка
165 с Костромка
Давидово-Брідська сільська рада
166 с Давидів Брід
167 с Білогірка
168 с Запоріжжя
Малоолександрівська сільська рада
169 с Мала Олександрівка
Новодмитрівська сільська рада
170 с Новодмитрівка
Новокалузька сільська рада
171 с Нова Калуга
172 с Веселе
173 с Нова Калуга Друга
174 с Червона Людмилівка
Новокам'янська сільська рада
175 с Нова Кам'янка
176 с Новогригорівка
Новопавлівська сільська рада
177 с Новопавлівка
178 с Буцівське
Старосільська сільська рада
179 с Старосілля
180 с Довгове
181 с Кам'яне
182 с Шостакове
Трифонівська сільська рада
183 с Трифонівка
184 с Нововасилівка
Чкаловська сільська рада
185 с Чкалове
186 с Вишневе
187 с Криничанка
188 с Степове
189 с Щасливе
"
Об’єднані  територіальні громади


Борозенська сільська територіальна громада"
 Борозенська сільська рада
190 с Борозенське
191 с Кучерське
192 с П'ятихатки
193 с Садок
 Новокубанська сільська рада
194 с Нова Кубань
195 с Стариця
 Чарівненська сільська рада
196 с Чарівне
197 с Дмитренка
198 с Костомарове
199 с Красносільське
Верхньорогачицький район   (центр - смт Верхній Рогачик)
Верхньорогачицька селищна рада
200 смт Верхній Рогачик
201 с Вишневе
202 с Володимирівка
203 с Зоря
204 с Трудовик
Бережанська сільська рада
205 с Бережанка
206 с Георгіївка
207 с Михайлівка
208 с Новознам'янка
Зеленівська сільська рада
209 с Зелене
Первомаївська сільська рада
210 с Первомаївка
211 с Таврійське
Самійлівська сільська рада
212 с Самійлівка
213 с Лисиче
214 с Павлівка
Ушкальська сільська рада
215 с Ушкалка
216 с Бабине
