Антрацитівський район   (центр - м Антрацит)
Єсаулівська селищна рада
128 смт Єсаулівка
Іванівська селищна рада
129 смт Іванівка
130 с-ще Ковильне
131 с-ще Степове
Краснокутська селищна рада
132 смт Красний Кут
133 с-ще Індустрія
134 с-ще Тамара
135 с-ще Урожайне
Маломиколаївська селищна рада
136 смт Маломиколаївка
137 с Єлизаветівка
138 с Західне
Нижньонагольчицька селищна рада
139 смт Нижній Нагольчик
Фащівська селищна рада
140 смт Фащівка
Бобриківська сільська рада
141 с Бобрикове
142 с Вишневе
143 с Єгорівка
144 с Клуникове
145 с Новокраснівка
Дяківська сільська рада
146 с Дякове
147 с Леонове
Кошарська сільська рада
148 с-ще Кошари
149 с Лози
Краснолуцька сільська рада
150 с-ще Краснолуцький
151 с Зелений Гай
152 с-ще Козаківка
153 с-ще Курган
154 с-ще Орлівське
Микитівська сільська рада
155 с Микитівка
156 с Баштевич
157 с Ганнівка
158 с-ще Сонячне
159 с-ще Широкий
Рафайлівська сільська рада
160 с Рафайлівка
161 с Іллінка
162 с Леськине
Ребриківська сільська рада
163 с Ребрикове
164 с Вербівка
165 с Картушине
166 с Мечетка
Червонополянська сільська рада
167 с Червона Поляна
168 с Зеленодільське
169 с-ще Ковпакове
Біловодський район   (центр - смт Біловодськ)
Біловодська селищна рада
170 смт Біловодськ
Бараниківська сільська рада
171 с Бараниківка
172 с Зелеківка
Брусівська сільська рада
173 с Брусівка
Городищенська сільська рада
174 с Городище
175 с Ноздрівка
Данилівська сільська рада
176 с Данилівка
177 с Вітрогон
178 с Городнє
179 с Новодеркул
180 с Первомайськ
181 с Третяківка
Євсузька сільська рада
182 с Євсуг
183 с Гончарове
184 с Копані
185 с Парневе
186 с Привільне
Кононівська сільська рада
187 с Кононівка
188 с Гармашівка
189 с Лимарівка
Литвинівська сільська рада
190 с Литвинівка
Нижньобараниківська сільська рада
191 с Нижньобараниківка
Новолимарівська сільська рада
192 с Новолимарівка
193 с Крейдяне
194 с Роздолля
Новоолександрівська сільська рада
195 с Новоолександрівка
196 с Степове
197 с Тернове
Плугатарська сільська рада
198 с Плугатар
199 с Новоспасівка
200 с Узлісся
Семикозівська сільська рада
201 с Семикозівка
Шуліківська сільська рада
202 с Шуліківка
Білокуракинський район   (центр - смт Білокуракине)
Лозно-Олександрівська селищна рада
203 смт Лозно-Олександрівка
204 с Олексапіль
205 с Петрівка
Павлівська сільська рада
206 с Павлівка
207 с Заводянка
208 с Стативчине
209 с Хоменкове Друге
Просторівська сільська рада
210 с Просторе
211 с Картамишеве
212 с Маньківка
213 с Плахо-Петрівка
214 с Світленьке
Солідарненська сільська рада
215 с Солідарне
216 с Гладкове
217 с Калинова Балка
218 с Миколаївка
Тимошинська сільська рада
219 с Тимошине
220 с Куплювате
221 с Новоандріївка
222 с Осикове
223 с Чабанове
Червоноармійська сільська рада
224 с-ще Мирне
225 с Кочине-Розпасіївка
226 с Новопокровка
227 с Нянчине
228 с Попасне
Шарівська сільська рада
229 с Шарівка
230 с Лозне
"
Об’єднані  територіальні громади


Білокуракинська селищна територіальна громада
 ОМС - Білокуракинська селищна рада терииторіальної громади"
231 смт Білокуракине
232 с Бунчуківка
233 с Грицаївка
234 с Дем'янівка
235 с Заїківка
236 с Калинівське
237 с Климівка
238 с Коноплянівка
239 с Курячівка
240 с Лизине
241 с Луб'янка
242 с Ляшківка
243 с Нещеретове
244 с Олександропіль
245 с Олексіївка
246 с Паньківка
247 с Попівка
248 с Приходьківка
249 с Романівка
250 с Рудове
251 с Хоменкове Перше
252 с Цілуйкове
253 с Шапарівка
254 с Шовкунівка
Довжанський район  (центр - )
Бірюківська селищна рада
255 смт Криничне
256 с-ще Братське
257 с-ще Довжанське
Дар'їно-Єрмаківська сільська рада
258 с Дар'їно-Єрмаківка
259 с Астахове
260 с Карпове-Кріпенське
Матвіївська сільська рада
261 с Матвіївка
262 с Антракоп
263 с-ще Іващенко
264 с Ритикове
265 с Уткине
Медвежанська сільська рада
266 с Медвежанка
267 с Куряче
268 с Миколаївка
269 с Нагірне
Новоборовицька сільська рада
270 с Новоборовиці
271 с Верхньотузлове
272 с Дар'ївка
273 с Зеленопілля
274 с Любиме
275 с Мар'ївка
Олександрівська сільська рада
276 с Олександрівка
277 с Ананьївка
278 с Панченкове
Провальська сільська рада
279 с Провалля
280 с Бобриківка
281 с Зимівники
282 с Калинник
283 с Маяк
284 с Черемшине
Кремінський район   (центр - м Кремінна)
Кремінська міська рада
285 м Кремінна
286 с-ще Діброва
287 с-ще Житлівка
288 с-ще Кузьмине
289 с-ще Стара Краснянка
Красноріченська селищна рада
290 смт Красноріченське
291 с Залиман
292 с Площанка
Бараниківська сільська рада
293 с Бараниківка
Боровенська сільська рада
294 с Боровеньки
Булгаківська сільська рада
295 с Булгаківка
296 с Прогрес
297 с Шевченко
Варварівська сільська рада
298 с Варварівка
299 с Затишне
300 с Крутеньке
Голубівська сільська рада
301 с Голубівка
302 с Климівка
303 с Скаргівка
Єпіфанівська сільська рада
304 с Єпіфанівка
Кудряшівська сільська рада
305 с Кудряшівка
306 с Півневе;
Макіївська сільська рада
307 с Макіївка
308 с Греківка
Михайлівська сільська рада
309 с Михайлівка
310 с Пристине
Невська сільська рада
311 с Невське
312 с Новолюбівка
Новоастраханська сільська рада
313 с Нова Астрахань
Нововодянська сільська рада
314 с Нововодяне
Новокраснянська сільська рада
315 с Новокраснянка
316 с Пшеничне
317 с Суровцівка
Новомикільська сільська рада
318 с Новомикільське
Новоолександрівська сільська рада
319 с Новоолександрівка
Червонопопівська сільська рада
320 с Червонопопівка
321 с Голикове
322 с Піщане
Лутугинський район   (центр - м Лутугине)
Лутугинська міська рада
323 м Лутугине
Білівська селищна рада
324 смт Біле
Білоріченська селищна рада
325 смт Білоріченський
326 с-ще Збірне
