Бродівський район   (центр - м Броди)
Бродівська міська рада
17 м Броди
Підкамінська селищна рада
18 смт Підкамінь
19 с Паньківці
20 с Стрихалюки
21 с Яблунівка
Батьківська сільська рада
22 с Батьків
23 с Звижень
24 с Лукавець
25 с Межигори
Вербівчицька сільська рада
26 с Вербівчик
27 с Орихівчик
28 с Стиборівка
Гаївська сільська рада
29 с Гаї
30 с Гаї-Дітковецькі
31 с Гаї-Смоленські
32 с Дітківці
Голубицька сільська рада
33 с Голубиця
34 с Жарків
Комарівська сільська рада
35 с Комарівка
36 с Антося
37 с Кіз'я
38 с Корсів
39 с Митниця
Лешнівська сільська рада
40 с Лешнів
41 с Грималівка
42 с Королівка
43 с Лісове
44 с Піски
Маркопільська сільська рада
45 с Маркопіль
46 с Шишківці
Наквашанська сільська рада
47 с Накваша
48 с Лукаші
49 с Микити
50 с Тетильківці
Паликоровівська сільська рада
51 с Паликорови
52 с Кутище
53 с Яснище
Пеняківська сільська рада
54 с Пеняки
55 с Літовище
56 с Малинище
57 с Чепелі
Підгорецька сільська рада
58 с Підгірці
59 с Загірці
Пониквянська сільська рада
60 с Пониква
61 с Боратин
62 с Видра
63 с Гаї-Суходільські
64 с Горбалі
65 с Липина
66 с Орани
67 с Переліски
68 с Підгір'я
69 с Сухота
Пониковицька сільська рада
70 с Пониковиця
71 с Глушин
72 с Голосковичі
73 с Ковпин Ставок
74 с Косарщина
75 с Суходоли
Поповецька сільська рада
76 с Попівці
77 с Горбанівка
78 с Дудин
79 с Нем'яч
80 с Шпаки
Смільнівська сільська рада
81 с Смільне
82 с Сидинівка
Станіславчицька сільська рада
83 с Станіславчик
84 с Бордуляки
85 с Збруї
86 с Кути
87 с Монастирок
88 с Панькова
Суховільська сільська рада
89 с Суховоля
90 с Бучина
91 с Салашка
Черницька сільська рада
92 с Черниця
93 с Залісся
Шнирівська сільська рада
94 с Шнирів
95 с Білявці
96 с Бовдури
97 с Клекотів
Язлівчицька сільська рада
98 с Язлівчик
99 с Берлин
100 с Конюшків
101 с Лагодів
102 с Мідне
Ясенівська сільська рада
103 с Ясенів
104 с Дуб'є
105 с Дубина
106 с Лучківці
107 с Новичина
108 с Теребежі
109 с Тріщуки
"
Об’єднані  територіальні громади


Заболотцівська сільська територіальна громада
 ОМС - Заболотцівська сільська рада територіальної громади"
110 с Заболотці
111 с Великі Переліски
112 с Велин
113 с Висоцько
114 с Вовковатиця
115 с Лугове
116 с Малі Переліски
117 с Мамчурі
118 с Ражнів
119 с Руда-Брідська
Буський район   (центр - м Буськ)
Буська міська рада
120 м Буськ
121 с Ниви
Красненська селищна рада
122 смт Красне
Олеська селищна рада
123 смт Олесько
124 с Волуйки
125 с Теребежі
126 с Циків
Андріївська сільська рада
127 с Мармузовичі
128 с Острівчик-Пильний
129 с Петричі
Балучинська сільська рада
130 с Балучин
131 с Русилів
Боложинівська сільська рада
132 с Боложинів
133 с Вербляни
134 с Заболотне
135 с Підставки
Гумниська сільська рада
136 с Гумниська
137 с Чучмани
Заводська сільська рада
138 с Заводське
139 с Гаївське
Задвірська сільська рада
140 с Задвір'я
141 с Богданівка
142 с Полоничі
Кізлівська сільська рада
143 с Кізлів
144 с Думниця
145 с Журатин
Купченська сільська рада
146 с Купче
147 с Ракобовти
Кутівська сільська рада
148 с Кути
149 с Брахівка
150 с Хватів
151 с Чішки
Куткірська сільська рада
152 с Куткір
153 с Безброди
154 с Острів
Милятинська сільська рада
155 с Новий Милятин
156 с Новий Ріпнів
157 с Ріпнів
158 с Старий Милятин
Новосілківська сільська рада
159 с Новосілки
160 с Дунів
161 с Кудирявці
162 с Лісок
Ожидівська сільська рада
163 с Ожидів
164 с Закомар'я
165 с Застав'є
166 с Йосипівка
167 с Павлики
168 с Сидори
169 с Янгелівка
Переволочнянська сільська рада
170 с Переволочна
Побужанська сільська рада
171 с Побужани
172 с Ланерівка
Полтв'янська сільська рада
173 с Полтва
Соколівська сільська рада
174 с Соколівка
175 с Баймаки
176 с Грабина
177 с Лабач
178 с Рижани
Соколянська сільська рада
179 с Соколя
180 с Будиголош
181 с Волиця-Деревлянська
182 с Грабова
183 с Забрід
184 с Маращанка
Сторонибабська сільська рада
185 с Сторонибаби
Топорівська сільська рада
186 с Топорів
187 с Горбачі
188 с Гута
189 с Заболото
190 с Леньків
191 с Лісове
Тур'янська сільська рада
192 с Тур'я
193 с Бажани
194 с Бачка
195 с Гутисько-Тур'янське
196 с Лісове
Утішківська сільська рада
197 с Утішків
