Арбузинський район   (центр - смт Арбузинка)
Арбузинська селищна рада
6 смт Арбузинка
7 с Вишневе
8 с Полянка
Костянтинівська селищна рада
9 смт Костянтинівка
10 с Бузьке
Агрономійська сільська рада
11 с Агрономія
12 с Новий Ставок
Іванівська сільська рада
13 с Іванівка
14 с Панкратове
Кавунівська сільська рада
15 с-ще Кавуни
Любоіванівська сільська рада
16 с Любоіванівка
Новокрасненська сільська рада
17 с Новокрасне
Новоселівська сільська рада
18 с Новоселівка
19 с Воля
20 с Колос Добра
21 с-ще Костянтинівка
22 с Мар'янівка
23 с Шкуратове
"
Об’єднані  територіальні громади
Благодатненська сільська територіальна громада "
 Благодатненська сільська рада
24 с Благодатне
 Воєводська сільська рада
25 с Воєводське
 Новогригорівська сільська рада
26 с Новогригорівка
 Рябоконівська сільська рада
27 с Рябоконеве
 Садівська сільська рада
28 с Садове
29 с Виноградний Яр
30 с Зелена Поляна
31 с Новомихайлівка
 Семенівська сільська рада
32 с Семенівка
33 с Булацелове
34 с Остапівка
Баштанський район   (центр - м Баштанка)
Доброкриничанська сільська рада
35 с Добра Криниця
36 с Мар'янівка
37 с Родники
Єрмолівська сільська рада
38 с Єрмолівка
39 с Вільна Поляна
40 с Новоолександрівка
41 с Новоукраїнка
42 с Світлицьке
Інгульська сільська рада
43 с Інгулка
44 с Степанівка
Кашперо-Миколаївська сільська рада
45 с Кашперо-Миколаївка
46 с Зелений Гай
47 с Катеринівка
48 с Любарка
49 с Новопетрівка
50 с Новофонтанка
51 с Свобода
Костичівська сільська рада
52 с Костичі
53 с Доброкам'янка
54 с Лобріївка
Лоцкинська сільська рада
55 с-ще Лоцкине
56 с-ще Перемога
Лук'янівська сільська рада
57 с Лук'янівка
58 с Архангельське
59 с Лисянка
60 с Михайлівка
Мар'ївська сільська рада
61 с Мар'ївка
62 с Виноградівка
63 с Нове Життя
64 с Новомар'ївка
Новоолександрівська сільська рада
65 с Новоолександрівка
Привільненська сільська рада
66 с Привільне
67 с Новобірзулівка
Старогороженська сільська рада
68 с Старогорожене
"
Об’єднані  територіальні громади
Баштанська міська територіальна громада "
69 м Баштанка
70 с-ще Андріївка
71 с Зелений Яр
72 с Трудове
73 с Шевченко
 Добренська сільська рада
74 с Добре
75 с Новоєгорівка
 Новоіванівська сільська рада
76 с Новоіванівка
77 с Київське
78 с Старосолдатське
 Новопавлівська сільська рада
79 с Новопавлівка
80 с Зелений Клин
 Новосергіївська сільська рада
81 с Новосергіївка
82 с Горожене
83 с Зелений Гай
84 с Новогорожене
85 с Тарасівка
 Пісківська сільська рада
86 с Піски
87 с Костянтинівка
 Плющівська сільська рада
88 с Плющівка
89 с Новогеоргіївка
90 с Одрадне
91 с Шляхове
 Христофорівська сільська рада
92 с Христофорівка
 Явкинська сільська рада
93 с Явкине
94 с Червоний Став
Березанський район   (центр - смт Березанка)
Березанська селищна рада
95 смт Березанка
96 с Андріївка
97 с Малахове
98 с Марківка
99 с Попільне
Анатолівська сільська рада
100 с Анатолівка
Василівська сільська рада
101 с Василівка
102 с-ще Елеваторне
103 с Михайлівка
104 с Новоселівка
Данилівська сільська рада
105 с Данилівка
106 с Новоподілля
107 с-ще Тронка
Дмитрівська сільська рада
108 с Дмитрівка
109 с Богданівка
110 с Ганнівка
111 с Єлизаветівка
112 с Журівка
113 с Комісарівка
114 с Олександрівка
115 с Червоний Поділ
Калинівська сільська рада
116 с Калинівка
117 с Калабатине
118 с Суходіл
119 с Яблуня
Краснопільська сільська рада
120 с Краснопілля
121 с-ще Крутоярка
Краснянська сільська рада
122 с Красне
Лиманівська сільська рада
123 с Лимани
124 с Вікторівка
Матіясівська сільська рада
125 с Матіясове
126 с Андрієво-Зорине
127 с-ще Елеваторне
128 с Лиманське
129 с Шмідтівка
Ташинська сільська рада
130 с Ташине
131 с Люблине
132 с Прогресівка
Тузлівська сільська рада
133 с Тузли
Щасливська сільська рада
134 с Щасливе
"
Об’єднані  територіальні громади
Коблівська сільська територіальна громада"
 Коблівська сільська рада
135 с Коблеве
136 с Виноградне
137 с Морське
 Новофедорівська сільська рада
138 с Новофедорівка
139 с Федорівка
 Рибаківська сільська рада
140 с Рибаківка
141 с Глибоке
142 с Лугове
 Українська сільська рада
143 с Українка
144 с Бессарабка
Березнегуватський район   (центр - смт Березнегувате)
