Великобагачанський район   (центр - смт Велика Багачка)
Гоголівська селищна рада
13 смт Гоголеве
Кротівщинська сільська рада
14 с Кротівщина
15 с Лукаші
16 с Скибівщина
Матяшівська сільська рада
17 с Матяшівка
Михайлівська сільська рада
18 с Михайлівка
19 с Кульбашне
20 с Мар'янське
Остап'ївська сільська рада
21 с Остап'є
22 с Запсілля
23 с Нове Остапове
24 с Олефіри
25 с Підгір'я
26 с Уханівка
Устивицька сільська рада
27 с Устивиця
28 с Грянчиха
29 с Дакалівка
30 с Підлуки
31 с Псільське
Широкодолинська сільська рада
32 с Широка Долина
33 с Бехтерщина
34 с Суржки
"
Об’єднані  територіальні громади


Великобагачанська селищна територіальна громада"
 Великобагачанська селищна рада
35 смт Велика Багачка
36 с Байрак
37 с Буряківщина
38 с Бутова Долина
39 с Гарнокут
40 с Довгалівка
41 с Затон
42 с Мала Решетилівка
43 с Пилипенки
44 с Шепелі
 Багачанська Перша сільська рада
45 с Багачка Перша
46 с Пушкареве
47 с Семенівка
48 с Широке
 Радивонівська сільська рада
49 с Радивонівка
50 с Володимирівка
51 с Іванівка
52 с Мар'янівка
53 с Перекопівка
 Степанівська сільська рада
54 с Степанівка
55 с Стефанівщина
 Якимівська сільська рада
56 с Якимове
57 с Балюки
Білоцерківська сільська територіальна громада  ОМС - Білоцерківська сільська рада територіальної громади
58 с Білоцерківка
59 с Балаклія
60 с Баланди
61 с Бірки
62 с Вишняківка
63 с Герусівка
64 с Дзюбівщина
65 с Колосівка
66 с Коноплянка
67 с Красногорівка
68 с Лугове
69 с Морозівщина
70 с Огирівка
71 с Писарівщина
72 с Поділ
73 с Сидорівщина
74 с Стінки
75 с Шипоші
Рокитянська сільська територіальна громада
 Корнієнківська сільська рада
76 с Корнієнки
77 с Вишарі
78 с Мостовівщина
79 с Попове
80 с Трудолюбиве
81 с Цикали
82 с Шпирни
 Рокитянська сільська рада
83 с Рокита
84 с Андрущине
85 с Говори
86 с Кравченки
Гадяцький район   (центр - м Гадяч)
Березоволуцька сільська рада
87 с Березова Лука
88 с Лихопілля
89 с Мелешки
Біленченківська сільська рада
90 с Біленченківка
91 с Грипаки
92 с Кіблицьке
93 с Оріханове
94 с Осняги
95 с Островерхівка
96 с Петроселівка
97 с Писарівщина
98 с Рудиків
99 с Степаненки
Бобрицька сільська рада
100 с Бобрик
101 с Педоричі
Великобудищанська сільська рада
102 с Великі Будища
Вельбівська сільська рада
103 с Вельбівка
