Білопільський район   (центр - м Білопілля)
Білопільська міська рада
27 м Білопілля
28 с Коваленки
29 с-ще Перемога
30 с Сохани
Ворожбянська міська рада
31 м Ворожба
Улянівська селищна рада
32 смт Улянівка
33 с Бакша
34 с Павленкове
Вирівська сільська рада
35 с Вири
36 с Барило
37 с Білани
38 с Головачі
39 с Кравченкове
Воронівська сільська рада
40 с Воронівка
41 с Дудченки
42 с Москаленки
43 с Штанівка
44 с Янченки
Ганнівсько-Вирівська сільська рада
45 с Ганнівка-Вирівська
46 с Котенки
47 с Смоляниківка
Гуринівська сільська рада
48 с Гуринівка
49 с Бубликове
50 с Василівщина
51 с Гиріне
52 с Кандибине
53 с Мар'янівка
54 с Мороча
55 с Новоіванівка
56 с Олексенки
57 с Степанівка
Кальченківська сільська рада
58 с Кальченки
59 с Воронине
60 с Крижик
61 с Червоне
Куянівська сільська рада
62 с Куянівка
63 с Йосипове
64 с Новопетрівка
65 с Павлівське
66 с Черванівка
Нововирківська сільська рада
67 с Нові Вирки
68 с Бабаківка
69 с Старі Вирки
Сергіївська сільська рада
70 с Сергіївка
71 с Ганнівське
72 с Гезівка
73 с Миколаївка-Тернівська
Терещенківська сільська рада
74 с Терещенки
75 с Новоандріївка
76 с Руденкове
77 с Садове
Шкуратівська сільська рада
78 с Шкуратівка
79 с Нагірнівка
80 с Цимбалівка
81 с Череватівка
"
Об’єднані  територіальні громади


Миколаївська селищна територіальна громада"
 Миколаївська селищна рада
82 смт Миколаївка
83 с Аркавське
84 с Бутовщина
85 с Веселе
86 с Гостинне
87 с Жолобок
88 с-ще Зоряне
89 с-ще Калинівка
90 с Пащенкове
91 с Самара
92 с Стрільцеве
93 с Сушилине
94 с-ще Тімірязєвка
95 с-ще Шевченківка
 Бобрицька сільська рада
96 с Бобрик
97 с Піщане
98 с Руда
 Верхосульська сільська рада
99 с Верхосулка
100 с Валіївка
101 с Курасове
102 с Лохня
103 с Машарі
104 с Мукіївка
105 с Сульське
 Луциківська сільська рада
106 с Луциківка
107 с Болотишине
108 с Птиче
 Марківська сільська рада
109 с Марківка
110 с Перше Травня
111 с Рудка
 Супрунівська сільська рада
112 с Супрунівка
113 с Біликівка
114 с Ганнівка-Тернівська
115 с-ще Лідине
116 с Першотравневе
 Товстянська сільська рада
117 с Товста
118 с Комарицьке
 Тучненська сільська рада
119 с Тучне
120 с Олександрівка
Річківська сільська територіальна громада
 Горобівська сільська рада
121 с Горобівка
122 с Безсокирне
123 с Біловишневе
124 с Зарічне
125 с Максимівщина
126 с Омельченки
 Іскрисківщинська сільська рада
127 с Іскрисківщина
128 с Безсалівка
129 с Нескучне
130 с Рогізне
131 с Соляники
 Коршачинська сільська рада
132 с Коршачина
133 с-ще Амбари
134 с Зелене
135 с Синяк
 Ободівська сільська рада
136 с Ободи
137 с Дігтярне
138 с Макіївка
 Павлівська сільська рада
139 с Павлівка
140 с Волфине
141 с Катеринівка
142 с Кисла Дубина
143 с Мелячиха
144 с Мирлоги
145 с Шпиль
 Рижівська сільська рада
146 с Рижівка
147 с Атинське
148 с Будки
149 с Голишівське
150 с Стукалівка
 Річківська сільська рада
151 с Річки
152 с Баїха
Буринський район   (центр - м Буринь)
Буринська міська рада
153 м Буринь
Біжівська сільська рада
154 с Біжівка
155 с Болотівка
156 с Голуби
Буриківська сільська рада
157 с Бурики
158 с Романчукове
Верхньосагарівська сільська рада
159 с Верхня Сагарівка
