Барський район   (центр - м Бар)
Копайгородська селищна рада
13 смт Копайгород new
14 с-ще Копай
15 с Переліски
16 с Українське
17 с Шевченкове
18 с Шипинки
Балківська сільська рада
19 с Балки
20 с Адамівка
21 с Йосипівці
22 с Окладне
23 с Чемериси-Барські
Верхівська сільська рада
24 с Верхівка
25 с Примощаниця
Войнашівська сільська рада
26 с Войнашівка
27 с-ще Бар
28 с Заможне
29 с Затоки
30 с Каноницьке
31 с Мирне
32 с Міжлісся
33 с Пляцина
Володієвецька сільська рада
34 с Володіївці
35 с Зелене
36 с Мар'янівка
Гаївська сільська рада
37 с Гайове
38 с-ще Івановецьке
39 с Колосівка
40 с-ще Котова
41 с Шпирки
Гармаківська сільська рада
42 с Гармаки
43 с-ще Діброва
Гулівська сільська рада
44 с Гулі
45 с Слобода-Гулівська
Журавлівська сільська рада
46 с Журавлівка
47 с Буцні
48 с Лядова
49 с Пилипи
50 с Сеферівка
Івановецька сільська рада
51 с Іванівці
52 с Шевченка
Каришківська сільська рада
53 с Каришків
54 с Грабівці
Комаровецька сільська рада
55 с Комарівці
Кузьминецька сільська рада
56 с Кузьминці
57 с Голубівка
58 с Мартинівка
Лісівська сільська рада
59 с Лісове
60 с Польове
Луко-Барська сільська рада
61 с Лука-Барська
62 с Васютинці
63 с Горяни
64 с Зоряне
65 с Квітка
Мальчовецька сільська рада
66 с Мальчівці
67 с Степанки
Маньковецька сільська рада
68 с Маньківці
69 с Мельники
70 с Улянівка
Матейківська сільська рада
71 с Матейків
72 с Мурашка
73 с Павлівка
74 с Трудолюбівка
Мигалівецька сільська рада
75 с Мигалівці
76 с Козарівка
Митківська сільська рада
77 с Митки
78 с Киянівка
Підлісноялтушківська сільська рада
79 с Підлісний Ялтушків
Поповецька сільська рада
80 с Попівці
81 с Верешки
82 с Кошаринці
Супівська сільська рада
83 с Супівка
84 с Барок
85 с Губачівка
Терешківська сільська рада
86 с Терешки
87 с Гавришівка
88 с Семенки
Ходацька сільська рада
89 с Ходаки
90 с Бригидівка
91 с-ще Лугове
92 с-ще Слобода
93 с Слобода-Ходацька
94 с Черешневе
Чемериська сільська рада
95 с Чемериське
96 с Борщі
97 с Регентівка
98 с Стасюки
99 с Шершні
Ялтушківська сільська рада
100 с Ялтушків
101 с Біличин
102 с Слобода-Ялтушківська
"
Об’єднані  територіальні громади
"
Барська міська територіальна громада
Барська міська рада
103 м Бар
 Антонівська сільська рада
104 с Антонівка
105 с Глинянка
106 с Широке
Бершадський район   (центр - м Бершадь)
Бершадська міська рада
107 м Бершадь
Баланівська сільська рада
108 с Баланівка
Бирлівська сільська рада
109 с Бирлівка
Великокиріївська сільська рада
110 с Велика Киріївка
Війтівська сільська рада
111 с Війтівка
Голдашівська сільська рада
112 с Голдашівка
Дяківська сільська рада
113 с Дяківка
Кидрасівська сільська рада
114 с Кидрасівка
Кошаринецька сільська рада
115 с Кошаринці
Красносільська сільська рада
116 с Красносілка
Лісниченська сільська рада
117 с Лісниче
118 с Вовчок
Маньківська сільська рада
119 с Маньківка
120 с Крушинівка
121 с Шумилів
Михайлівська сільська рада
122 с Михайлівка
123 с Романівка
М'якохідська сільська рада
124 с М'якохід
Осіївська сільська рада
125 с Осіївка
126 с Мала Киріївка
127 с-ще Партизанське
Поташнянська сільська рада
128 с Поташня
П'ятківська сільська рада
129 с П'ятківка
130 с Глинське
Серебрійська сільська рада
131 с Серебрія
132 с Березівка
Серединська сільська рада
133 с Серединка
Ставківська сільська рада
134 с Ставки
Сумівська сільська рада
135 с Сумівка
Тернівська сільська рада
136 с Тернівка
Тирлівська сільська рада
137 с Тирлівка
138 с-ще Кавкули
Устянська сільська рада
139 с Устя
140 с Лугова
141 с-ще Устя
Флоринська сільська рада
142 с Флорине
Шляхівська сільська рада
143 с Шляхова
144 с Завітне
145 с Теофілівка
Яланецька сільська рада
146 с Яланець
147 с-ще Яланець
"
Об’єднані  територіальні громади
"
Джулинська сільська територіальна громада 
 Джулинська сільська рада
148 с Джулинка
149 с Берізки-Бершадські
 Чернятська сільська рада
150 с Чернятка
151 с Хмарівка
Вінницький район   (центр - м Вінниця)
Вороновицька селищна рада
152 смт Вороновиця
Деснянська селищна рада
153 смт Десна
Стрижавська селищна рада
154 смт Стрижавка
155 с-ще Славне
Агрономічна сільська рада
156 с Агрономічне
Бохоницька сільська рада
157 с Бохоники
Великокрушлинецька сільська рада
158 с Великі Крушлинці
Вінницько-Хутірська сільська рада
159 с Вінницькі Хутори
Гавришівська сільська рада
160 с Гавришівка
Гуменська сільська рада
161 с Гуменне
162 с Михайлівка
Дорожненська сільська рада
163 с Дорожне
Жабелівська сільська рада
164 с Жабелівка
Іванівська сільська рада
165 с Іванівка
166 с Цвіжин
Ільківська сільська рада
167 с Ільківка
168 с Горбанівка
169 с Рівець
Комарівська сільська рада
170 с Комарів
Ксаверівська сільська рада
171 с Ксаверівка
172 с Лисогора
Лаврівська сільська рада
173 с Лаврівка
174 с Медвідка
Луко-Мелешківська сільська рада
175 с Лука-Мелешківська
176 с Прибузьке
177 с Тютьки
Майданська сільська рада
178 с Майдан
179 с Слобода-Дашковецька
Малокрушлинецька сільська рада
180 с Малі Крушлинці
Медвежо-Вушківська сільська рада
181 с Медвеже Вушко
Мізяківсько-Хутірська сільська рада
182 с Мізяківські Хутори
183 с Переорки
184 с Тютюнники
Некрасовська сільська рада
185 с Некрасове
Оленівська сільська рада
186 с Оленівка
187 с Олександрівка
Парпуровецька сільська рада
188 с Парпурівці
189 с Майдан-Чапельський
190 с Хижинці
Писарівська сільська рада
191 с Писарівка
192 с Щітки
Побережненська сільська рада
193 с Побережне
194 с Кордишівка
Пултівецька сільська рада
195 с Пултівці
196 с Лисянка
197 с Махнівка
Сокиринецька сільська рада
198 с Сокиринці
Сосонська сільська рада
199 с Сосонка
Стадницька сільська рада
200 с Стадниця
Степанівська сільська рада
201 с Степанівка
Широкогребельська сільська рада
202 с Широка Гребля
Якушинецька сільська рада
203 с Якушинці
204 с-ще Березина
205 с Зарванці
Гайсинський район   (центр - м Гайсин)
Гайсинська міська рада
206 м Гайсин
207 с-ще Млинки
Бондурівська сільська рада
208 с Бондурі
209 с Шура-Бондурівська
Бубнівська сільська рада
210 с Бубнівка
211 с Дмитренки
212 с Новоселівка
Гранівська сільська рада
213 с Гранів
Грузька сільська рада
214 с Грузьке
Губницька сільська рада
215 с Губник
216 с-ще Губник
Гунчанська сільська рада
217 с Гунча
218 с Адамівка
Жерденівська сільська рада
219 с Жерденівка
220 с Розівка
221 с Тимар
Зятковецька сільська рада
222 с Зятківці
223 с Бур'яни
224 с-ще Зятківці
225 с-ще Лісна Поляна
Карбівська сільська рада
226 с Карбівка
227 с Заріччя
228 с Кисляк
Кіблицька сільська рада
229 с Кіблич
230 с Мелешків
231 с Огіївка
Краснопільська сільська рада
232 с Краснопілка
Кузьминецька сільська рада
233 с Кузьминці
234 с Павлівка
235 с Сокільці
236 с Щурівці
Кунківська сільська рада
237 с Кунка
Кунянська сільська рада
238 с Куна
239 с Кочурів
240 с Крутогорб
241 с Мар'янівка
Кущинецька сільська рада
242 с Кущинці
243 с Бережне
244 с Борсуки
245 с Гнатівка
Ладижинсько-Хутірська сільська рада
246 с Ладижинські Хутори
Митківська сільська рада
247 с Митків
248 с Степове
249 с Тишківка
250 с Тишківська Слобода
Михайлівська сільська рада
251 с Михайлівка
Мітлинецька сільська рада
252 с Мітлинці
253 с-ще Карбівське
254 с Шура-Мітлинецька
Нараївська сільська рада
255 с Нараївка
Носовецька сільська рада
256 с Носівці
257 с Косанове
258 с-ще Трубочка
Семиріцька сільська рада
259 с Семирічка
260 с Рахни
261 с-ще Хороша
Степашківська сільська рада
262 с Степашки
Харпацька сільська рада
263 с Харпачка
Чечелівська сільська рада
264 с Чечелівка
265 с Рахнівка
266 с Тарасівка
Ярмолинецька сільська рада
267 с Ярмолинці
268 с Басаличівка
Жмеринський район   (центр - м Жмеринка)
Браїлівська селищна рада
269 смт Браїлів
270 с-ще Браїлів
271 с-ще Володимирівка
272 с Сьомаки
Біликовецька сільська рада
273 с Біликівці
274 с Лопатинці
275 с Мартинівка
Демидівська сільська рада
