Берегівський район   (центр - м Берегове)
Батівська селищна рада
10 смт Батьово
Астейська сільська рада
11 с Астей
Бадалівська сільська рада
12 с Бадалово
Батрадівська сільська рада
13 с Батрадь
14 с Горонглаб
Бенянська сільська рада
15 с Бене
Берегуйфалівська сільська рада
16 с Берегуйфалу
Боржавська сільська рада
17 с Боржава
Варівська сільська рада
18 с Вари
Великобактянська сільська рада
19 с Велика Бакта
Великоберезька сільська рада
20 с Великі Береги
Великобийганська сільська рада
21 с Велика Бийгань
22 с Мала Бийгань
Галаборська сільська рада
23 с Галабор
Гатянська сільська рада
24 с Гать
25 с Чикош-Горонда
Гечанська сільська рада
26 с Геча
Гутівська сільська рада
27 с Гут
Дийдянська сільська рада
28 с Дийда
Запсонська сільська рада
29 с Запсонь
Квасівська сільська рада
30 с Квасово
Кідьошська сільська рада
31 с Кідьош
Косоньська сільська рада
32 с Косонь
Мочолянська сільська рада
33 с Мочола
34 с Гуняді
Мужіївська сільська рада
35 с Мужієво
Нижньореметівська сільська рада
36 с Нижні Ремети
37 с Верхні Ремети
Оросіївська сільська рада
38 с Оросієво
Попівська сільська рада
39 с Попово
40 с Гетен
41 с Мале Попово
Рафайнівська сільська рада
42 с Рафайново
Свободянська сільська рада
43 с Свобода
44 с Бадів
45 с Бакош
46 с Данилівка
Четфалвівська сільська рада
47 с Четфалва
Чомська сільська рада
48 с Чома
Шомівська сільська рада
49 с Шом
50 с Каштаново
Яношівська сільська рада
51 с Яноші
52 с Балажер
Великоберезнянський район   (центр - смт Великий Березний)
Великоберезнянська селищна рада
53 смт Великий Березний
Буківцівська сільська рада
54 с Буківцьово
Верховино-Бистрянська сільська рада
55 с Верховина-Бистра
Вишківська сільська рада
56 с Вишка
Волосянківська сільська рада
57 с Волосянка
58 с Луг
Забрідська сільська рада
59 с Забрідь
Загорбська сільська рада
60 с Загорб
61 с Жорнава
Костринська сільська рада
62 с Кострина
63 с Костринська Розтока
Лубнянська сільська рада
64 с Лубня
Лютянська сільська рада
65 с Люта
Малоберезнянська сільська рада
66 с Малий Березний
67 с Завосина
68 с Мирча
Розтоцько-Пастільська сільська рада
69 с Розтоцька Пастіль
70 с Бегендяцька Пастіль
71 с Костева Пастіль
72 с Руський Мочар
Смереківська сільська рада
73 с Смереково
Солянська сільська рада
74 с Сіль
75 с Домашин
Ставненська сільська рада
76 с Ставне
Стричавська сільська рада
77 с Стричава
78 с Княгиня
Стужицька сільська рада
79 с Стужиця
Тихівська сільська рада
80 с Тихий
81 с Гусний
82 с Сухий
Ужоцька сільська рада
83 с Ужок
Чорноголівська сільська рада
84 с Чорноголова
Виноградівський район   (центр - м Виноградів)
Виноградівська міська рада
85 м Виноградів
Вилоцька селищна рада
86 смт Вилок
Королівська селищна рада
87 смт Королево
Боржавська сільська рада
88 с Боржавське
Буківська сільська рада
89 с Букове
Великоком'ятівська сільська рада
90 с Великі Ком'яти
Великокопанська сільська рада
91 с Велика Копаня
Великопаладська сільська рада
92 с Велика Паладь
93 с Фертешолмаш
Вербовецька сільська рада
94 с Вербовець
95 с Чорний Потік
Веряцька сільська рада
96 с Веряця
97 с Горбки
Дротинська сільська рада
98 с Дротинці
Дюлянська сільська рада
99 с Дюла
Малокопанська сільська рада
100 с Мала Копаня
Матіївська сільська рада
101 с Матійово
102 с Вербове
103 с Руська Долина
Неветленфолівська сільська рада
104 с Неветленфолу
105 с Ботар
106 с Нове Клинове
107 с Оклі
108 с Оклі Гедь
Новоселицька сільська рада
109 с Новоселиця
Новосільська сільська рада
110 с Нове Село
Олешницька сільська рада
111 с Олешник
Оноцька сільська рада
112 с Онок
Перехрестівська сільська рада
113 с Перехрестя
114 с Карачин
Пийтерфолвівська сільська рада
115 с Пийтерфолво
116 с Тисобикень
117 с Форголань
Підвиноградівська сільська рада
118 с Підвиноградів
Пушкінська сільська рада
119 с Пушкіно
Сасівська сільська рада
120 с Сасово
Теківська сільська рада
121 с Теково
122 с Гудя
Фанчиківська сільська рада
123 с Фанчиково
124 с Притисянське
125 с Тросник
Хижанська сільська рада
126 с Хижа
Чепівська сільська рада
127 с Чепа
128 с Гетиня
129 с Затисівка
Чернянська сільська рада
130 с Черна
Чорнотисівська сільська рада
131 с Чорнотисів
132 с Холмовець
Шаланківська сільська рада
133 с Шаланки
Широківська сільська рада
134 с Широке
Воловецький район   (центр - смт Воловець)
Воловецька селищна рада
135 смт Воловець
136 с Канора
Жденіївська селищна рада
137 смт Жденієво
138 с Збини
Абранська сільська рада
139 с Абранка
Біласовицька сільська рада
140 с Біласовиця
141 с Латірка
Буковецька сільська рада
142 с Буковець
Верб'язька сільська рада
143 с Верб'яж
144 с Завадка
Верхньоворітська сільська рада
145 с Верхні Ворота
Гукливська сільська рада
146 с Гукливий
Лазівська сільська рада
147 с Лази
Нижньоворітська сільська рада
148 с Нижні Ворота
149 с Задільське
Підполозянська сільська рада
150 с Підполоззя
